t,alpha_bar,alpha_bar_lambda_max,r_ode_lincomb,r_cellunet
540,0.05106797229119631,2.4191955024986713,0.97811866,0.021881342
541,0.050512522468051484,2.392882695200323,0.97702265,0.022977352
542,0.049962107887640606,2.3668084177677478,0.975873,0.024127007
543,0.0494166957116852,2.3409711145837564,0.9746674,0.02533263
544,0.048876253160135635,2.3153692327895774,0.973403,0.026597023
545,0.0483407475131497,2.2900012223785913,0.97207737,0.02792263
546,0.047810146113043656,2.2648655362887533,0.97068775,0.029312253
547,0.047284416366215824,2.2399606304937194,0.9692311,0.030768871
548,0.04676352574504281,2.215284964092672,0.9677046,0.032295406
549,0.04624744178974842,2.1908369993988566,0.9661048,0.033895195
550,0.045736132110245326,2.166615202026824,0.96442884,0.035571158
551,0.04522956438794959,2.1426180409783893,0.96267307,0.037326932
552,0.0447277063775681,2.118843988727305,0.96083426,0.039165735
553,0.04423052590885905,2.0952915213026593,0.9589087,0.041091323
554,0.043737990888365455,2.0719591183709962,0.9568927,0.04310727
555,0.04325006930112191,2.0488452633171685,0.9547826,0.045217395
556,0.042766729212334605,2.0259484433239234,0.95257413,0.047425866
557,0.042287938769034715,2.003267149450226,0.9502635,0.0497365
558,0.04181366620170524,1.980799876708329,0.9478465,0.052153528
559,0.041343879825881474,1.9585451241395857,0.9453187,0.0546813
560,0.04087854804372509,1.936501394889022,0.9426758,0.05732417
561,0.04041763934557202,1.9146671962786606,0.93991333,0.060086668
562,0.039961122311454274,1.893041039879612,0.9370266,0.06297338
563,0.03950896561259566,1.8716214415829322,0.93401104,0.06598896
564,0.03906113801288172,1.8504069216692542,0.9308616,0.06913841
565,0.03861760837030382,1.8293960048771991,0.92757356,0.07242644
566,0.03817834563837762,1.8085872204705713,0.9241418,0.075858176
567,0.037743318867536,1.7879791023043448,0.92056143,0.07943857
568,0.03731249720649656,1.7675701888894433,0.9168273,0.08317268
569,0.03688584990360386,1.7473590234563259,0.9129342,0.087065816
570,0.036463346308146447,1.7273441540173784,0.9088771,0.091122925
571,0.03604495587164893,1.7075241334281188,0.9046505,0.09534949
572,0.035630648149139035,1.6878975194472228,0.90024954,0.09975046
573,0.03522039280039,1.6684628747953774,0.89566875,0.104331255
574,0.034814159591138254,1.649218767212965,0.8909032,0.109096825
575,0.03441191839427664,1.6301637695165898,0.8859476,0.114052415
576,0.03401363919102324,1.611296459654446,0.880797,0.11920297
